product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
điện thoại samsung galaxy a56 5g - hàng chính hãng,7490000,24,5.0,19,1,điện thoại,883
điện thoại samsung galaxy a06 5g (4128gb) màn hình cực đại hd 67 5g kết nối cực nhanh - hàng chính hãng,2450000,38,4.7,16,1,điện thoại,17000
điện thoại tecno spark go 2 ( 4gb - 64gb) - hàng chính hãng,1990000,33,5.0,1,1,điện thoại,20
điện thoại xiaomi redmi 15 8gb128gb - hàng chính hãng,3990000,23,5.0,10,1,điện thoại,246
điện thoại samsung galaxy a26 5g (8128gb) mặt lưng kính ai-circle to search camera hdr chụp đêm sáng rõ - hàng chính hãng,4990000,29,5.0,24,1,điện thoại,4000
điện thoại samsung galaxy a06 5g (4gb64gb) - hàng chính hãng,3490000,0,4.7,3,1,điện thoại,2
điện thoại oppo a3 (8gb256gb) - hàng chính hãng,6490000,0,5.0,1,1,điện thoại,1
điện thoại honor play 10 - hàng chính hãng,1650000,21,5.0,6,1,điện thoại,35
điện thoại samsung galaxy a16 lte - hàng chính hãng,5090000,0,4.7,3,1,điện thoại,2
điện thoại samsung galaxy a06 5g 4gb128gb - hàng chính hãng,2699000,40,4.8,6,1,điện thoại,18
điện thoại oppo a5i ( 6gb128gb) - hàng chính hãng,3790000,16,4.1,1,1,điện thoại,17
điện thoại oppo a3 8gb128gb - hàng chính hãng,5290000,0,4.7,14,1,điện thoại,12000
điện thoại honor x6c - hàng chính hãng,2790000,20,5.0,4,1,điện thoại,14
điện thoại xiaomi redmi note 14 6gb128gb - hàng chính hãng,4155000,17,4.5,8,1,điện thoại,11
điện thoại samsung galaxy a16 5g (4gb128gb) - đã kích hoạt bảo hành điện tử - hàng chính hãng,3220000,35,4.2,1,1,điện thoại,13
điện thoại samsung galaxy a17 5g camera 50mp ios kính cường lực gorilla victus ai gemini - hàng chính hãng,4250000,23,5.0,2,1,điện thoại,566
điện thoại xiaomi redmi note 14 5g 8gb256gb - hàng chính hãng,5250000,27,4.7,3,1,điện thoại,13
điện thoại samsung galaxy a17 lte (8128gb) kính cường lực gorilla victus camera 50mp ios ai gemini - hàng chính hãng,4090000,21,4.4,4,1,điện thoại,8
điện thoại xiaomi redmi note 14 pro 8gb256gb - hàng chính hãng,5250000,17,5.0,1,1,điện thoại,7
điện thoại xiaomi redmi note 13 5g (8gb128gb) màn hình amoled 667 chip dimensity 6080 - hàng nhập khẩu,4900000,0,4.7,3,0,điện thoại,3
sách - lá hoa trên đường về - sa môn thích pháp hoà - tặng kèm bookmark lá bồ đề random 1 trong 3 mẫu bookmark postcard,93427,44,5.0,3,1,laptop,156
nước tẩy trang sen hậu giang sạch bụi siêu mịn pm10 có prebiotics dịu êm cho da rất nhạy cảm cocoon 140ml,120000,21,5.0,2,1,laptop,55
sách chứng bệnh - tập 1,134160,43,4.7,3,1,laptop,13
siêu quậy teppei tập 1 tập 31,19600,22,5.0,10,1,laptop,96
sách chiến tranh tiền tệ - phần 1 - ai thực sự là người giàu nhất thế giới,115200,38,5.0,797,1,laptop,68
sữa bột anlene hương vanilla (hộp giấy 12kg),561000,18,5.0,4,1,laptop,2000
tặng hộp 2 ly thủy tinh combo 2 bịch nescafe 3in1 công thức cải tiến - vị nguyên bản bịch 46 gói,322000,20,5.0,13,1,laptop,8000
sữa bột nutifood growplus suy dinh dưỡng (đỏ) 2 lon 165kg,615000,43,5.0,1,1,laptop,883
sách méthode rose - phương pháp hồng 1 - năm thứ nhất với đàn piano - giáo trình dạy piano nổi tiếng của pháp,104800,46,5.0,86,1,laptop,318
sữa bột nestlé nan supremepro 1 800g nhập khẩu đức với 5hmo đạm gentle optipro ( dành cho trẻ từ 0 - 12 tháng tuổi),585000,0,4.7,92,1,laptop,20000
sữa meiji lon số 9 800g nội địa nhật (cho trẻ từ 1-3 tuổi),402000,23,5.0,22,1,laptop,1000
laptop dell latitude 5310 core i5-10310u ram 16gb pcie 256gb 133 fhd - hàng chính hãng,6810000,1,4.7,3,1,laptop,7
tặng ca đá 900ml combo 3 bịch nescafe 3in1 công thức cải tiến - vị nguyên bản bịch 46 gói,495000,13,5.0,27,1,laptop,16000
key điện tử phần mềm microsoft 365 family ep2-36890 12 tháng dành cho tối đa 6 người 5 thiết bịtài khoản word excel powerpoint 1tb onedrive,1690000,35,5.0,104,1,laptop,1000
laptop dell vostro 5370 (i5-8250u ram 8gb ssd 256gb 133fhd sliver w10fgkey_led) - hàng chính hãng,8200000,1,5.0,1,1,laptop,1
sữa bột nestlé nan optipro plus 3 800glon với 5hmo xuất xứ thụy sĩ - hỗ trợ tiêu hóa đề kháng trí não chiều cao (1-2 tuổi),445000,0,5.0,68,1,laptop,11000
nồi nấu chậm nấu cháo chưng yến 1l elmich sce-8524ol - hàng chính hãng,465300,70,5.0,88,1,laptop,854
mẫu mới combo 2 tã quần sunmate siêu mềm mại g1 mới size xl-142 miếng,176000,53,4.7,13,0,laptop,486
tai nghe có dây nhét tai m101 pro 35mm âm thanh hay chống ồn hỗ trợ mic nghe gọi đầy đủ dây dài 12m - hàng chính hãng,71200,49,4.8,50,1,laptop,567
laptop dell latitude 3590 core i5 7200u- ram 8gb- 128gb ssd ổ cứng -màn hình 15-6 inch bh 6 thang - hàng chính hãng,6850000,1,4.3,4,1,laptop,11
tai nghe nhét tai earphone new4all ck1 - hàng chính hãng,127200,36,4.3,4,1,tai nghe,20
tai nghe nhét tai earphone legaxi hifi đàm thoại cao cấp - hàng chính hãng,124000,20,5.0,2,1,tai nghe,17
tai nghe điện thoại s8 cổng jack 35mm phù hợp nhiều loại điện thoại máy tính - hàng chính hãng,102400,34,4.0,2,1,tai nghe,14
tai nghe nhét tai remax rm - 610d - hàng chính hãng,188000,20,5.0,1,1,tai nghe,1
tai nghe nhét tai new4all ck9 sport earphone móc qua vành tai - hàng chính hãng,143200,28,4.1,16,1,tai nghe,138
tai nghe nhét tai cao cấp baseus h06 - hàng chính hãng,127200,20,4.5,42,1,tai nghe,171
tai nghe có dây nhét tai m101 pro 35mm âm thanh hay chống ồn hỗ trợ mic nghe gọi đầy đủ dây dài 12m - hàng chính hãng,71200,49,4.8,50,1,tai nghe,567
tai nghe phone nhét tai nghe nhạc chơi game teement qkz ak2 pro mới nhất âm thanh super bass dây chống rối có mic đàm thoại tương thích điện thoại máy tính bảng laptop pc - hàng chính hãng,150000,0,4.5,20,1,tai nghe,0
tai nghe nhét tai hoco m64 melodious jack kết nối 35 âm thanh tuyệt vời - hàng nhập khẩu,79200,20,4.8,37,1,tai nghe,194
tai nghe nhét tai mi basic xiaomi hsej03jy - hàng chính hãng,101600,20,4.7,218,1,tai nghe,962
tai nghe có dây nhét tai rockspace es07 chuẩn cắm 35 có mic chơi game nghe nhạc - hàng chính hãng bảo hành 1 năm,31200,36,5.0,29,1,tai nghe,228
tai nghe nhét tai thể thao hoco m52 hàng chính hãng,119200,20,4.7,3,1,tai nghe,9
tai nghe nhét tai có kèm mic jack 35mm olaple - hàng nhập khẩu,79200,20,4.0,1,1,tai nghe,1
tai nghe stereo có mic earbud ribi oneplus t-068 - hàng chính hãng,40000,20,4.0,11,1,tai nghe,67
tai nghe super bass kèm mic livestream ribi kt02 - thiết kế đeo vòng qua tai - phù hợp nghe nhạc chơi game ghi âm học online - hàng chính hãng,102400,32,5.0,9,1,tai nghe,85
tai nghe apple earpods cổng lightning,450000,43,4.8,1152,1,tai nghe,6000
tai nghe hoco m34 -tặng gía đỡ điện thoại- hàng chính hãng,63200,20,4.7,3,1,tai nghe,8
tai nghe xiaomi in ear headphones basic- hàng chính hãng,101200,20,4.7,80,1,tai nghe,348
tai nghe baseus encok 35mm lateral in-ear wired earphone h17 - hàng chính hãng,75599,20,3.5,1,1,tai nghe,14
tai nghe nhét tai có dây pisen earphone ap03 - hàng chính hãng,155200,26,4.6,1,1,tai nghe,2
bàn phím game fuhlen l411 - hàng chính hãng,175200,20,5.0,41,1,bàn phím,235
bàn phím led langtu l1 black - hàng nhập khẩu,315000,14,4.6,47,1,bàn phím,173
bàn phím led langtu l1 white - hàng nhập khẩu,315000,14,5.0,69,1,bàn phím,153
bàn phím cơ e917 gaming - led xuyên phím có hotswap cho máy tính laptop hàng nhập khẩu,630000,7,3.9,1,1,bàn phím,8
bàn phím gaming dareu lk145 usb - hàng chính hãng,260000,16,4.7,39,1,bàn phím,156
bàn phím cơ k900 gaming - led xuyên phím có hotswap cho máy tính laptop hàng nhập khẩu,700000,7,4.6,3,1,bàn phím,16
bàn phím chuột không dây w201 nhỏ gọn cho máy tính laptop hàng nhập khẩu,200000,20,5.0,13,1,bàn phím,25
bàn phím máy tính gaming giả cơ pantsan pk100 có dây nút tròn led 7 màu cực đẹp - nth - hàng nhập khẩu,81600,20,4.0,1,1,bàn phím,10
