product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
đien thoai samsung galaxy a56 5g,7490000,24,5.0,19,1,đien thoai,883
đien thoai samsung galaxy a06 5g (4128gb) man hinh cuc đai hd 67 5g ket noi cuc nhanh,2450000,38,4.7,16,1,đien thoai,17000
đien thoai tecno spark go 2 ( 4gb - 64gb),1990000,33,5.0,1,1,đien thoai,20
đien thoai xiaomi redmi 15 8gb128gb,3990000,23,5.0,10,1,đien thoai,246
đien thoai samsung galaxy a26 5g (8128gb) mat lung kinh ai-circle to search camera hdr chup đem sang ro,4990000,29,5.0,24,1,đien thoai,4000
đien thoai samsung galaxy a06 5g (4gb64gb),3490000,0,4.7,3,1,đien thoai,2
đien thoai oppo a3 (8gb256gb),6490000,0,5.0,1,1,đien thoai,1
đien thoai honor play 10,1650000,21,5.0,6,1,đien thoai,35
đien thoai samsung galaxy a16 lte,5090000,0,4.7,3,1,đien thoai,2
đien thoai samsung galaxy a06 5g 4gb128gb,2699000,40,4.8,6,1,đien thoai,18
đien thoai oppo a5i ( 6gb128gb),3790000,16,4.1,1,1,đien thoai,17
đien thoai oppo a3 8gb128gb,5290000,0,4.7,14,1,đien thoai,12000
đien thoai honor x6c,2790000,20,5.0,4,1,đien thoai,14
đien thoai xiaomi redmi note 14 6gb128gb,4155000,17,4.5,8,1,đien thoai,11
đien thoai samsung galaxy a16 5g (4gb128gb) - đa kich hoat bao hanh đien tu,3220000,35,4.2,1,1,đien thoai,13
đien thoai samsung galaxy a17 5g camera 50mp ios kinh cuong luc gorilla victus ai gemini,4250000,23,5.0,2,1,đien thoai,566
đien thoai xiaomi redmi note 14 5g 8gb256gb,5250000,27,4.7,3,1,đien thoai,13
đien thoai samsung galaxy a17 lte (8128gb) kinh cuong luc gorilla victus camera 50mp ios ai gemini,4090000,21,4.4,4,1,đien thoai,8
đien thoai xiaomi redmi note 14 pro 8gb256gb,5250000,17,5.0,1,1,đien thoai,7
đien thoai xiaomi redmi note 13 5g (8gb128gb) man hinh amoled 667 chip dimensity 6080 - hang nhap khau,4900000,0,4.7,3,1,đien thoai,3
sach - la hoa tren đuong ve - sa mon thich phap hoa - tang kem bookmark la bo đe random 1 trong 3 mau bookmark postcard,93427,44,5.0,3,1,laptop,156
nuoc tay trang sen hau giang sach bui sieu min pm10 co prebiotics diu em cho da rat nhay cam cocoon 140ml,120000,21,5.0,2,1,laptop,55
sach chung benh - tap 1,134160,43,4.7,3,1,laptop,13
sieu quay teppei tap 1 tap 31,19600,22,5.0,10,1,laptop,96
sach chien tranh tien te - phan 1 - ai thuc su la nguoi giau nhat the gioi,115200,38,5.0,797,1,laptop,68
