product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
Điện Thoại Samsung Galaxy A56 5G - Hàng Chính Hãng,7.490.000,-24%,5.0,(19),1,điện thoại,đã bán 883
"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",2.450.000,-38%,4.7,(16),1,điện thoại,đã bán 17000
Điện thoại Tecno SPARK GO 2 ( 4GB - 64GB) - Hàng Chính Hãng,1.990.000,-33%,5.0,(1),1,điện thoại,đã bán 20
Điện thoại Xiaomi Redmi 15 8GB/128GB - Hàng Chính Hãng,3.990.000,-23%,5.0,(10),1,điện thoại,đã bán 246
"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",4.990.000,-29%,5.0,(24),1,điện thoại,đã bán 4000
Điện thoại Samsung Galaxy A06 5G (4GB/64GB) - Hàng chính hãng,3.490.000,,N/A,N/A,1,điện thoại,đã bán 2
Điện thoại Oppo A3 (8GB/256GB) - Hàng chính hãng,6.490.000,,5.0,(1),1,điện thoại,đã bán 1
Điện thoại Honor Play 10 - Hàng Chính Hãng,1.650.000,-21%,5.0,(6),1,điện thoại,đã bán 35
Điện thoại Samsung Galaxy A16 LTE - Hàng chính hãng,5.090.000,,N/A,N/A,1,điện thoại,đã bán 2
Điện Thoại Samsung Galaxy A06 5G 4GB/128GB - Hàng Chính Hãng,2.699.000,-40%,4.8,(6),1,điện thoại,đã bán 18
Điện thoại Oppo A5i ( 6GB/128GB) - Hàng chính hãng,3.790.000,-16%,4.1,(1),1,điện thoại,đã bán 17
Điện thoại OPPO A3 8GB/128GB - Hàng Chính Hãng,5.290.000,,4.7,(14),1,điện thoại,đã bán 12000
Điện thoại Honor X6c - Hàng Chính Hãng,2.790.000,-20%,5.0,(4),1,điện thoại,đã bán 14
Điện Thoại Xiaomi Redmi Note 14 6GB/128GB - Hàng Chính Hãng,4.155.000,-17%,4.5,(8),1,điện thoại,đã bán 11
